S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres,Laps,Total Time,Pit Stops,Best Lap Number,Best Lap Time,Best Lap Kph,Status
174,3,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,2,2,34,02:56:40,4,31.0,03:42.4,220.6,1
1251,21,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,281,21:03:07,27,11.0,03:36.4,226.7,1
495,8,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,2
957,16,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,199,16:03:42,24,54.0,03:39.0,224.0,1
299,5,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,53,05:06:44,6,11.0,03:37.8,225.2,1
262,5,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,1,1,58,05:04:28,6,10.0,03:30.1,233.5,1
685,12,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,1,1,139,12:02:46,13,10.0,03:29.7,234.0,1
30,1,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,12,01:03:19,1,11.0,03:44.6,218.4,1
889,15,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,188,15:01:50,18,9.0,03:38.0,225.0,1
972,16,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,191,16:04:07,20,151.0,03:38.6,224.4,1
1067,18,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,237,18:03:18,27,236.0,03:38.2,224.8,1
1413,23,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,113,09:35:29,11,65.0,03:39.3,223.7,2
758,13,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,164,13:04:25,17,11.0,03:36.4,226.7,1
254,5,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,1,1,60,05:04:57,6,12.0,03:29.1,234.6,1
1301,21,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,2
229,4,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,44,04:06:34,4,8.0,03:52.5,211.0,1
158,3,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,37,03:13:58,3,8.0,03:52.1,211.3,1
1283,21,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,4,1,170,13:57:05,13,147.0,03:51.8,211.6,2
1197,20,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,2,2,263,20:00:52,25,11.0,03:37.7,225.3,1
1279,21,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,254,20:11:05,23,210.0,03:50.7,212.6,1
1454,24,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,312,00:01:46,25,263.0,03:50.8,212.6,1
445,8,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,1,1,101,08:08:31,11,29.0,03:30.1,233.5,1
16,1,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,2,2,12,01:02:21,1,11.0,03:37.3,225.7,1
222,4,911,Proton Competition,M. FASSBENDER / M. RUMP / R. LIETZ,Porsche 911 RSR - 19,4,1,44,04:05:05,4,16.0,03:53.1,210.5,1
949,16,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,2,2,206,16:03:07,19,11.0,03:37.3,225.7,1
582,10,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,116,10:01:29,12,9.0,03:38.0,225.0,1
1365,23,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,327,23:06:17,30,308.0,03:27.5,236.3,1
118,2,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,4,1,23,02:04:43,3,17.0,03:58.6,205.6,1
434,7,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,2
1397,23,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,297,23:06:43,31,204.0,03:37.8,225.2,1
310,5,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,1
1358,22,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,4,1,28,02:20:55,2,8.0,03:51.4,212.0,2
498,9,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,112,09:05:12,10,10.0,03:29.7,234.0,1
525,9,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,4,1,104,09:05:10,8,10.0,03:54.9,208.9,1
1145,19,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,240,19:03:30,19,8.0,03:51.3,212.1,1
271,5,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,2,2,58,05:08:19,6,11.0,03:37.7,225.3,1
247,4,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,1
754,13,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,166,13:04:49,16,31.0,03:29.0,234.7,1
1404,23,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,254,20:08:24,21,8.0,03:52.5,211.0,2
366,6,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,1
1372,23,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,1,1,316,23:06:06,30,290.0,03:28.8,234.9,1
736,12,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,84,06:44:44,7,12.0,03:29.9,233.7,2
890,15,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,188,15:02:31,20,10.0,03:38.1,225.0,1
568,10,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,120,10:02:13,12,11.0,03:30.6,233.0,1
978,16,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,4,1,118,10:31:04,14,89.0,03:55.1,208.7,2
529,9,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,104,09:06:34,9,8.0,03:52.5,211.0,1
198,4,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,47,04:06:38,4,12.0,03:28.3,235.5,1
1045,17,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,87,07:50:02,10,9.0,03:37.6,225.4,2
850,14,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,163,13:41:59,14,149.0,03:54.7,209.0,1
884,15,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,191,15:01:46,19,10.0,03:38.1,225.0,1
792,13,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,2,2,117,11:07:56,15,57.0,03:39.4,223.6,1
269,5,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,58,05:07:53,6,13.0,03:43.1,219.9,1
672,11,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,4,1,89,07:58:43,8,8.0,03:53.1,210.5,2
942,16,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,2,2,208,16:05:37,23,66.0,03:38.6,224.4,1
1442,24,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,1,1,324,00:02:38,29,289.0,03:28.0,235.9,1
298,5,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,54,05:06:36,5,8.0,03:51.3,212.1,1
377,7,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,89,07:04:22,8,10.0,03:29.7,234.0,1
689,12,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,1,1,137,12:03:10,13,10.0,03:30.1,233.5,1
456,8,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,99,08:07:59,11,10.0,03:38.1,225.0,1
735,12,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,87,07:50:02,10,9.0,03:37.6,225.4,2
683,12,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,139,12:01:47,13,10.0,03:29.7,234.0,1
339,6,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,71,06:04:20,7,9.0,03:37.6,225.4,1
1330,22,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,4,1,283,22:03:05,23,242.0,03:51.5,211.9,1
1014,17,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,219,17:04:00,23,10.0,03:38.1,225.0,1
322,6,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,73,06:04:43,7,11.0,03:30.6,233.0,1
720,12,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,128,12:03:46,11,8.0,03:51.3,212.1,1
1020,17,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,2,2,214,17:03:22,22,10.0,03:37.8,225.2,1
1107,18,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,87,07:50:02,10,9.0,03:37.6,225.4,2
493,8,55,GMB Motorsport,G. BIRCH / M. SARENSEN/ J. MALLER,Aston Martin Vantage AMR,4,1,21,01:45:27,2,17.0,03:56.2,207.7,2
122,2,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,1
603,10,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,110,10:02:27,11,9.0,03:55.1,208.6,1
94,2,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,1,1,25,02:03:02,3,9.0,03:30.4,233.1,1
550,9,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,84,06:44:44,7,12.0,03:29.9,233.7,2
217,4,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,44,04:04:30,4,10.0,03:39.9,223.1,1
210,4,47,COOL Racing,DE GARUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,2,2,45,04:04:44,4,10.0,03:37.3,225.7,1
363,6,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,58,05:15:31,5,14.0,03:55.0,208.7,1
351,6,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,69,06:05:02,7,63.0,03:51.2,212.2,1
1198,20,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,2,2,261,20:04:20,27,227.0,03:37.5,225.5,1
98,2,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,25,02:04:03,3,10.0,03:46.1,216.9,1
284,5,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,4,1,56,05:07:18,4,10.0,03:54.9,208.9,1
448,8,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,2,2,100,08:09:37,12,66.0,03:38.6,224.4,1
556,9,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
13,1,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HARR,Oreca 07 - Gibson,2,2,12,01:02:15,1,11.0,03:37.1,225.9,1
257,5,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,60,05:06:28,6,9.0,03:30.1,233.5,1
258,5,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,60,05:07:18,6,12.0,03:28.3,235.5,1
494,8,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
1164,19,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,4,1,118,10:31:04,14,89.0,03:55.1,208.7,2
192,4,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,1,1,47,04:05:28,6,10.0,03:29.5,234.2,1
316,6,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,75,06:03:28,7,10.0,03:29.7,234.0,1
1359,22,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,4,1,28,02:20:57,2,10.0,03:58.7,205.5,2
440,8,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,103,07:58:44,10,12.0,03:30.0,233.6,1
541,9,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,100,09:06:32,10,9.0,03:55.1,208.6,1
971,16,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,193,16:03:24,20,13.0,03:38.4,224.6,1
946,16,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,207,16:04:10,20,10.0,03:38.1,225.0,1
815,14,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,182,14:04:39,18,9.0,03:30.1,233.5,1
1280,21,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,1,1,242,20:33:33,25,228.0,03:28.1,235.7,1
570,10,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,118,10:01:34,13,9.0,03:30.1,233.5,1
1074,18,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,1,1,235,18:03:14,20,227.0,03:28.3,235.5,1
1000,17,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,227,17:02:48,21,227.0,03:28.1,235.7,1
487,8,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,86,08:10:17,10,13.0,03:38.4,224.6,1
245,4,55,GMB Motorsport,G. BIRCH / M. SARENSEN/ J. MALLER,Aston Martin Vantage AMR,4,1,21,01:45:27,2,17.0,03:56.2,207.7,1
127,3,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MALLER,Peugeot 9X8,1,1,39,03:06:34,4,10.0,03:29.7,234.0,1
847,14,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,170,14:05:52,14,11.0,03:54.7,209.0,1
394,7,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,84,07:01:59,9,10.0,03:38.1,225.0,1
1212,20,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,252,20:01:14,22,210.0,03:50.7,212.6,1
402,7,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,84,07:04:47,10,11.0,03:39.0,224.0,1
1173,19,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,4,1,28,02:20:55,2,8.0,03:51.4,212.0,2
654,11,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,128,11:02:07,11,10.0,03:52.2,211.2,1
1221,20,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,183,14:31:45,18,149.0,03:39.8,223.2,2
1094,18,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,223,18:03:20,24,204.0,03:37.8,225.2,1
552,9,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,2
1418,23,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,58,05:15:31,5,14.0,03:55.0,208.7,2
292,5,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,4,1,55,05:07:15,5,26.0,03:55.4,208.3,1
715,12,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,4,1,129,12:04:11,13,29.0,03:52.8,210.7,1
968,16,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,4,1,198,16:05:50,16,138.0,03:54.5,209.2,1
276,5,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,57,05:03:18,6,10.0,03:38.1,225.0,1
1190,20,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,265,20:01:10,26,11.0,03:36.4,226.7,1
335,6,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,71,06:01:55,6,9.0,03:38.0,225.0,1
6,1,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,12,01:01:23,0,9.0,03:30.1,233.5,1
400,7,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,84,07:04:22,9,65.0,03:39.3,223.7,1
10,1,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MALLER,Peugeot 9X8,1,1,12,01:01:28,0,10.0,03:29.7,234.0,1
213,4,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,45,04:04:55,4,9.0,03:38.0,225.0,1
574,10,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,118,10:03:06,15,11.0,03:39.0,223.9,1
500,9,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,112,09:05:21,12,31.0,03:29.0,234.7,1
344,6,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,4,1,69,06:02:10,6,8.0,03:53.1,210.5,1
860,14,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,84,06:44:44,7,12.0,03:29.9,233.7,2
687,12,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,1,1,139,12:02:28,12,130.0,03:29.7,234.0,1
11,1,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,12,01:01:30,0,11.0,03:30.6,233.0,1
256,5,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,60,05:06:01,6,11.0,03:30.6,233.0,1
424,7,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,2,2,72,07:02:29,8,57.0,03:39.4,223.6,1
1069,18,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,2,2,237,18:04:35,25,10.0,03:37.4,225.6,1
47,1,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,12,01:04:29,1,11.0,03:54.7,209.0,1
1337,22,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,278,22:00:26,21,11.0,03:54.7,209.0,1
1483,24,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,4,1,28,02:20:57,2,10.0,03:58.7,205.5,2
503,9,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,1,1,111,09:05:11,10,9.0,03:30.0,233.6,1
196,4,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,47,04:06:34,4,9.0,03:30.1,233.5,1
1448,24,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,317,00:02:44,35,223.0,03:37.1,226.0,1
441,8,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,103,08:07:23,11,9.0,03:30.1,233.5,1
1466,24,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,254,20:08:24,21,8.0,03:52.5,211.0,2
367,6,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,4,1,28,02:20:55,2,8.0,03:51.4,212.0,1
1394,23,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,298,23:04:22,24,263.0,03:50.8,212.6,1
1219,20,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,4,1,246,20:01:25,21,181.0,03:53.2,210.3,1
105,2,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,4,1,24,02:01:31,2,10.0,03:54.9,208.9,1
488,8,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,84,06:44:44,7,12.0,03:29.9,233.7,2
1285,21,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,163,13:41:59,14,149.0,03:54.7,209.0,2
468,8,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,96,08:11:24,8,8.0,03:52.5,211.0,1
1313,22,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,2,2,296,22:01:39,29,273.0,03:36.2,226.9,1
43,1,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,12,01:04:08,1,8.0,03:51.3,212.1,1
391,7,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,85,07:05:56,9,13.0,03:43.1,219.9,1
630,11,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,134,11:02:56,14,9.0,03:30.1,233.5,1
173,3,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,34,02:43:29,4,11.0,03:37.8,225.2,1
759,13,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,1,1,164,13:05:39,15,10.0,03:29.7,234.0,1
1199,20,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,261,20:04:39,27,209.0,03:37.0,226.1,1
238,4,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,4,1,40,04:06:32,5,10.0,04:00.3,204.1,1
282,5,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,56,05:07:13,5,8.0,03:52.1,211.3,1
1185,20,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,271,20:00:56,26,239.0,03:27.4,236.5,1
296,5,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,55,05:08:37,6,10.0,03:52.2,211.2,1
662,11,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,4,1,125,11:02:01,12,114.0,03:54.8,208.9,1
1154,19,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,236,19:03:14,18,11.0,03:54.7,209.0,1
1383,23,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,308,23:06:15,31,10.0,03:38.1,225.0,1
629,11,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,1,1,136,11:04:05,14,29.0,03:30.1,233.5,1
176,3,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,34,03:10:16,5,12.0,03:32.9,230.4,1
1088,18,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,227,18:04:12,18,8.0,03:52.1,211.3,1
1131,19,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,2,2,250,19:02:12,24,11.0,03:37.1,225.9,1
