S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres,Laps,Total Time,Pit Stops,Best Lap Number,Best Lap Time,Best Lap Kph,Status
1320,22,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,2,2,292,22:02:28,30,270.0,03:37.2,225.8,1
756,13,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,164,13:04:13,16,10.0,03:38.1,225.0,1
770,13,47,COOL Racing,DE GARUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,2,2,158,12:41:04,16,10.0,03:37.3,225.7,1
89,2,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,25,02:01:34,3,13.0,03:39.4,223.6,1
1202,20,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,1,1,259,20:04:47,24,245.0,03:28.3,235.5,1
1341,22,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,254,20:08:24,21,8.0,03:52.5,211.0,1
1356,22,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,58,05:15:31,5,14.0,03:55.0,208.7,2
827,14,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,177,14:02:48,18,149.0,03:39.8,223.2,1
1352,22,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,103,07:58:44,10,12.0,03:30.0,233.6,2
1458,24,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,4,1,310,00:00:35,23,295.0,03:52.0,211.4,1
312,6,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,75,06:02:12,6,12.0,03:29.9,233.7,1
810,14,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,1,1,186,14:04:29,16,130.0,03:29.7,234.0,1
1186,20,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,270,20:00:39,27,258.0,03:29.8,233.8,1
788,13,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,153,13:02:14,14,149.0,03:54.7,209.0,1
524,9,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,104,09:05:00,11,10.0,03:38.1,225.0,1
203,4,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,45,04:04:33,6,11.0,03:39.0,223.9,1
1321,22,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,1,1,292,22:04:09,26,289.0,03:28.0,235.9,1
